PDS,ANZ_S,RTS_E22100.0,RTS_E22100.1,RTS_E22100.3,RTS_E22100.3.MW_A_PR,RTS_E22100.3.MW_M_PR,RTS_E22100.3.MW_A_PW,RTS_E22100.3.MW_M_PW,RTS_E22100.4,RTS_E22100.4.MW_A_PR,RTS_E22100.4.MW_M_PR,RTS_E22100.4.MW_A_PW,RTS_E22100.4.MW_M_PW,RTS_E22100.9,RTS_E22090.0,RTS_E22090.1,RTS_E22090.3,RTS_E22090.3.MW_A_PR,RTS_E22090.3.MW_M_PR,RTS_E22090.3.MW_A_PW,RTS_E22090.3.MW_M_PW,RTS_E22090.4,RTS_E22090.4.MW_A_PR,RTS_E22090.4.MW_M_PR,RTS_E22090.4.MW_A_PW,RTS_E22090.4.MW_M_PW,RTS_E22090.9,RTS_E22080.0,RTS_E22080.1,RTS_E22080.3,RTS_E22080.3.MW_A_PR,RTS_E22080.3.MW_M_PR,RTS_E22080.3.MW_A_PW,RTS_E22080.3.MW_M_PW,RTS_E22080.4,RTS_E22080.4.MW_A_PR,RTS_E22080.4.MW_M_PR,RTS_E22080.4.MW_A_PW,RTS_E22080.4.MW_M_PW,RTS_E22080.9,RTS_E22070.0,RTS_E22070.1,RTS_E22070.3,RTS_E22070.3.MW_A_PR,RTS_E22070.3.MW_M_PR,RTS_E22070.3.MW_A_PW,RTS_E22070.3.MW_M_PW,RTS_E22070.4,RTS_E22070.4.MW_A_PR,RTS_E22070.4.MW_M_PR,RTS_E22070.4.MW_A_PW,RTS_E22070.4.MW_M_PW,RTS_E22070.9,RTS_E22060.0,RTS_E22060.1,RTS_E22060.3,RTS_E22060.3.MW_A_PR,RTS_E22060.3.MW_M_PR,RTS_E22060.3.MW_A_PW,RTS_E22060.3.MW_M_PW,RTS_E22060.4,RTS_E22060.4.MW_A_PR,RTS_E22060.4.MW_M_PR,RTS_E22060.4.MW_A_PW,RTS_E22060.4.MW_M_PW,RTS_E22060.9,RTS_E22050.0,RTS_E22050.1,RTS_E22050.3,RTS_E22050.3.MW_A_PR,RTS_E22050.3.MW_M_PR,RTS_E22050.3.MW_A_PW,RTS_E22050.3.MW_M_PW,RTS_E22050.4,RTS_E22050.4.MW_A_PR,RTS_E22050.4.MW_M_PR,RTS_E22050.4.MW_A_PW,RTS_E22050.4.MW_M_PW,RTS_E22050.9,RTS_E22040.0,RTS_E22040.1,RTS_E22040.3,RTS_E22040.3.MW_A_PR,RTS_E22040.3.MW_M_PR,RTS_E22040.3.MW_A_PW,RTS_E22040.3.MW_M_PW,RTS_E22040.4,RTS_E22040.4.MW_A_PR,RTS_E22040.4.MW_M_PR,RTS_E22040.4.MW_A_PW,RTS_E22040.4.MW_M_PW,RTS_E22040.9,RTS_E22030.0,RTS_E22030.1,RTS_E22030.3,RTS_E22030.3.MW_A_PR,RTS_E22030.3.MW_M_PR,RTS_E22030.3.MW_A_PW,RTS_E22030.3.MW_M_PW,RTS_E22030.4,RTS_E22030.4.MW_A_PR,RTS_E22030.4.MW_M_PR,RTS_E22030.4.MW_A_PW,RTS_E22030.4.MW_M_PW,RTS_E22030.9,RTS_E22020.0,RTS_E22020.1,RTS_E22020.3,RTS_E22020.3.MW_A_PR,RTS_E22020.3.MW_M_PR,RTS_E22020.3.MW_A_PW,RTS_E22020.3.MW_M_PW,RTS_E22020.4,RTS_E22020.4.MW_A_PR,RTS_E22020.4.MW_M_PR,RTS_E22020.4.MW_A_PW,RTS_E22020.4.MW_M_PW,RTS_E22020.9,RTS_E22010.0,RTS_E22010.1,RTS_E22010.3,RTS_E22010.3.MW_A_PR,RTS_E22010.3.MW_M_PR,RTS_E22010.3.MW_A_PW,RTS_E22010.3.MW_M_PW,RTS_E22010.4,RTS_E22010.4.MW_A_PR,RTS_E22010.4.MW_M_PR,RTS_E22010.4.MW_A_PW,RTS_E22010.4.MW_M_PW,RTS_E22010.9
1566091,1523,277,,,,,,,1246,"1,55939","23,683788",",525929","7,987742",,492,27,6,3,45,"1,090093","16,351393",998,"4,554108","68,356713","1,526354","22,908464",,193,32,58,"3,810345","159,396552","1,2423","52,07625",1240,"6,017742","244,649194","2,029097","82,425533",,25,314,718,"3,417827","205,905292","1,168442","70,367143",466,"5,987124","403,712446","2,014075","135,81619",,167,14,,,,,,1342,"2,039493","145,581222",",693738","49,575979",,,78,359,"4,83844","136,83844","1,66386","47,058355",1086,"6,416206","250,801105","2,165896","84,669154",,83,287,,,,,,1153,"2,046834","122,810061",",697809","41,868542",,38,99,1087,"4,844526","149,406624","1,636044","50,490601",299,"6,525084","225,702341","2,217757","76,743951",,550,337,127,"4,527559","166,062992","1,370297","49,102555",509,"5,123772","212,711198","1,765517","73,395642",,,9,36,"21,333333","609,444444","7,430639","212,452445",1478,"42,003383","1470,121786","14,1103","493,369615",
1566092,440,59,,181,1,10,",33781","3,378105",200,"2,295","33,4",",725451","10,585121",,202,12,67,"2,955224",45,",916046","13,935136",159,"3,113208","129,811321","1,013054","43,016091",,41,84,55,"4,854545","150,545455","1,540406","47,682873",260,"11,446154","386,884615","3,674999","124,516849",,28,116,44,"3,886364","227,727273","1,236767","72,088529",252,"7,130952","528,869048","2,267291","167,954567",,3,,17,1,30,",336742","10,102272",420,"2,692857","144,380952",",882083","47,149503",,,39,167,"7,443114","151,526946","2,460742","50,310236",234,"9,705128","215,940171","3,130322","70,076621",,15,124,1,2,90,",7","31,5",300,"2,006667","120,5",",658966","39,572971",,255,77,32,"5,21875","180,9375","1,623997","56,145242",76,"7,342105","249,802632","2,41016","81,968174",,161,20,51,"5,019608","150,588235","1,638802","49,164071",208,"22,350962","684,158654","7,144994","218,821471",,,2,5,"20,2",666,"6,631852","218,866667",433,"45,316397","1597,759815","14,667663","516,69489",
1566093,774,339,,,,,,,435,"1,121839","17,103448",",377895","5,76312",,358,14,,,,,,402,"4,154229","62,313433","1,394093","20,911388",,173,31,72,"4,041667","159,444444","1,322197","52,112042",498,"5,690763","226,907631","1,927118","76,762525",,2,80,334,"3,437126","206,811377","1,170457","70,407298",358,"6,527933","418,240223","2,201624","141,103083",,56,6,,,,,,712,"1,90309","132,507022",",64287","44,885771",,,50,207,"4,908213","136,811594","1,689457","47,075334",517,"6,665377","256,363636","2,239632","86,141763",,63,274,,,,,,437,"2,045767","122,745995",",692013","41,520754",,35,32,414,"5,103865","156,847826","1,708023","52,446609",293,"6,286689","198,430034","2,158912","67,986766",,284,190,51,"4,529412","165,882353","1,348693","48,690859",249,"5,281124","216,26506","1,808392","74,176003",,,5,16,"19,5625","629,6875","6,737244","217,168646",753,"40,328021","1423,081009","13,596665","479,614154",
1566094,495,494,,,,,,,1,1,15,",269231","4,038462",,,5,29,"2,103448","49,310345",",710722","16,691119",461,"4,238612","125,986985","1,344638","40,400286",,6,16,25,"4,28","145,2","1,395134","47,419316",448,"9,667411","342,254464","3,091101","109,561078",,75,129,85,"2,929412","239,823529",",921646","75,288148",206,"5,684466","485,38835","1,784792","152,705235",,327,,34,1,30,",329289","9,878679",134,"2,253731","154,701493",",736353","49,942642",,20,474,1,2,120,",7",42,,,,,,,495,,,,,,,,,,,,,407,48,21,"4,904762","170,714286","1,595344","54,467864",19,"7,368421","287,368421","2,40039","92,960526",,264,48,69,"5,043478","155,217391","1,604314","49,382897",114,"6,833333","331,052632","2,174047","105,320995",,,4,17,"23,529412","708,529412","7,207165","216,879041",474,"47,525316","1462,257384","15,21057","467,790012",
1566095,32,1,,,,,,,31,"1,580645","23,870968",",488562","7,370243",,1,,1,2,45,",7","15,75",30,"3,6","119,5","1,080991","35,85692",,,,,,,,,32,"9,46875","388,125","2,796069","114,835669",,,,5,"3,8",204,"1,284348","69,208696",27,"8,296296",515,"2,436952","151,038005",,,,,,,,,32,"5,21875","416,25","1,625345","131,951271",,,1,,,,,,31,"4,322581","188,225806","1,336207","58,103308",,1,,,,,,,31,"6,645161","398,709677","2,037345","122,240666",,16,,4,5,150,"1,613889","48,416667",12,7,210,"2,1209","63,627013",,13,1,5,"4,8",162,"1,525572","51,245411",13,"9,153846","311,538462","2,4849","84,957265",,,,1,25,680,"8,75",238,31,"52,225806","1729,354839","15,526382","513,035349",
1566096,512,9,,,,,,,503,"1,662028","26,12326",",563278","8,873629",,,2,,,,,,510,"4,186275","131,235294","1,414693","44,391679",,110,73,131,"2,259542","131,221374",",758408","43,979823",198,"4,777778",255,"1,588739","85,035475",,21,101,58,"3,637931","228,103448","1,217608","76,394022",332,"9,003012","627,424699","3,01986","210,268418",,88,,26,1,30,",336549","10,096469",398,"1,354271","81,168342",",461982","27,535135",,,,3,"2,333333",125,",735897","40,115385",509,"6,3222","320,049116","2,139544","108,384156",,39,24,47,2,105,",671341","35,245406",402,"3,50995","198,134328","1,193944","67,404279",,333,41,62,"5,032258","200,887097","1,643525","65,606587",76,"6,776316","271,052632","2,288783","91,551333",,118,34,34,"6,529412","152,058824","2,156758","48,784945",326,"15,604294","479,539877","5,219942","160,059828",,,,12,"20,25","665,416667","6,203076","204,094029",500,"40,692","1773,62","13,684798","597,367153",
1566097,497,,,,,,,,497,"2,474849","37,122736",",812227","12,183398",,,4,5,1,45,",331852","14,933333",488,"5,106557","159,405738","1,697629","53,073451",,23,335,27,"2,962963","162,222222",",84932","46,020734",112,"4,973214","265,714286","1,646526","87,840157",,31,50,86,"3,569767","219,069767","1,149558","70,61948",330,"7,651515","471,090909","2,542211","156,483217",,1,36,,,,,,460,"2,445652","96,673913",",816661","32,275007",,,,18,"2,555556","144,166667",",817157","46,061847",479,"5,075157","283,903967","1,701497","95,01479",,7,24,,,,,,466,"2,828326","169,699571",",941469","56,488134",,352,21,33,5,"166,666667","1,692215","56,683502",91,"6,725275","231,923077","2,251289","78,133782",,306,34,73,"4,69863","140,958904","1,518448","45,553427",84,"7,72619","232,142857","2,474478","74,326938",,,6,55,"20,890909","629,636364","6,843069","206,112263",436,"40,330275","1434,380734","13,322664","473,636594",
1566098,184,5,,,,,,,179,"1,391061","20,865922",",456553","6,848292",,8,21,18,"2,833333",45,",936506","14,846979",137,"4,175182","86,459854","1,354923","28,153686",,69,10,12,4,180,"1,146296","51,583333",93,"5,849462","263,225806","1,856619","83,54787",,17,42,31,"3,935484","213,870968","1,319617","71,782141",94,"10,361702","570,851064","3,398397","188,089591",,32,1,20,1,30,",3269","9,807012",131,"1,862595","94,80916",",606111","30,855734",,,3,8,"3,125","146,25","1,059722","49,486111",173,"6,624277","278,468208","2,161711","90,917915",,7,10,,,,,,167,"2,197605","131,856287",",717779","43,066739",,72,51,11,"5,909091","223,636364","1,690857","64,297083",50,"7,5","279,6","2,386416","89,136993",,53,20,26,"5,423077","159,230769","1,667668","48,888307",85,"11,211765","341,529412","3,655395","111,505636",,,9,19,"20,894737","626,842105","6,931468","207,944029",156,"41,275641","1238,269231","13,227534","396,82602",
1566099,151,,,,,,,,151,"1,086093","17,152318",",361655","5,726156",,7,11,9,"1,555556",45,",52428","14,842593",124,"2,66129","91,612903",",867062","30,013855",,72,4,18,"2,111111","126,666667",",725325","43,519509",57,"4,77193","286,315789","1,521435","91,286126",,,10,22,"3,727273","253,636364","1,131602","77,440803",119,"7,176471","448,739496","2,339971","147,048655",,10,2,18,1,30,",334877","10,046296",121,"2,702479","136,983471",",899266","45,320372",,,2,7,"5,428571","147,857143","1,809259","49,675926",142,"7,887324","283,838028","2,60892","94,000525",,23,57,38,2,90,",659538","29,679227",33,3,135,",984007","44,280303",,95,16,18,"4,722222","141,666667","1,592284","47,768519",22,"7,227273","216,818182","2,449027","73,470795",,57,59,13,"6,769231","146,923077","2,211984","48,278149",22,"10,590909","276,818182","3,438721","88,88468",,,2,3,21,"583,333333","7,35","204,166667",146,"32,835616","1160,10274","10,661434","376,24053",
1566100,717,2,,,,,,,715,"1,237762","18,566434",",401905","6,028574",,104,128,289,"1,010381","45,069204",",336386","15,029668",196,"2,178571","79,362245",",666115","24,34164",,140,41,73,"3,561644","169,315068","1,090954","51,698779",463,"6,099352","273,887689","1,961005","88,025185",,73,345,138,"3,224638","228,152174","1,025968","73,108157",161,"6,086957","441,118012","1,880756","137,124352",,484,,2,1,30,",35","10,5",231,"20,757576","415,34632","6,718103","133,49724",,,229,293,"5,191126","155,494881","1,693206","51,078448",195,"6,846154","232,179487","2,115042","72,462509",,28,34,183,1,90,",333397","30,005735",472,"2,601695","185,529661",",836001","59,637326",,485,162,10,"5,6",164,"1,887407","55,948148",60,"11,983333","442,916667","3,742029","137,923742",,293,39,43,"3,255814","154,767442","1,034784","49,0644",342,"8,076023","404,327485","2,529793","126,263839",,,11,68,"21,279412","651,764706","6,897055","211,126816",638,"36,19906","1175,039185","11,56458","375,273306",
1566101,41,8,,,,,,,33,"1,30303",25,",381659","7,315418",,,,4,2,50,",617452","15,436292",37,"3,702703","133,378378","1,100439","39,593241",,1,1,4,"5,5",180,"1,445746","47,057721",35,"11,4","375,857143","3,404124","112,21821",,1,17,15,"5,2",232,"1,636708","72,387359",8,"7,875","378,75","2,450749","117,071377",,,,,,,,,41,"2,487805","231,95122",",732425","68,705402",,,3,15,"6,2",150,"1,967137","48,151828",23,"7,695652","196,73913","2,215708","56,903714",,1,21,,,,,,19,2,120,",586407","35,184442",,26,1,7,6,180,"1,714674","51,44023",7,"7,428571","222,857143","2,186772","65,603175",,,,,,,,,41,"14,268293","574,756098","4,136181","168,399392",,,,,,,,,41,"59,170732","1805,487805","17,461198","532,17999",
1566102,65,63,,,,,,,2,"2,5",75,",648004","19,440133",,,,,,,,,65,"7,476923","200,923077","2,12918","57,906523",,14,16,20,"5,2","184,5","1,354046","48,618007",15,"5,8",204,"1,963922","69,30719",,1,32,16,"4,625","271,875","1,209181","71,17909",16,"7,3125",435,"2,11402","125,798936",,,,,,,,,65,"17,276923","459,692308","4,85067","130,497998",,5,52,8,3,150,",863967","43,198332",,,,,,,20,45,,,,,,,,,,,,36,12,12,"6,333333","211,25","1,623245","53,083773",5,"7,2",291,"2,18","85,05",,30,19,11,"6,818182",180,"1,982883","51,154716",5,"13,2",351,"3,574373","95,767241",,,,1,13,480,"4,333333",160,64,"50,40625","1889,765625","14,160368","530,216393",
1566103,529,6,,,,,,,523,"1,066922","17,036329",",320282","5,090087",,2,1,3,1,45,",370588","16,676471",523,"2,521989","75,372849",",753571","22,507817",,50,70,66,"3,681818","176,818182","1,019853","49,458206",343,"6,947522","330,131195","2,062817","97,971858",,6,297,38,"4,394737","260,921053","1,300583","76,116028",188,"7,239362","474,12234","2,076973","134,730604",,231,132,49,"1,55102","35,102041",",485423","10,943249",117,"2,410256","181,965812",",672622","51,673671",,,1,57,"7,403509","141,052632","2,500759","47,846623",471,"9,972399","225,318471","2,880607","65,833411",,529,,,,,,,,,,,,,239,85,63,"6,555556","193,968254","1,937189","56,688253",142,"13,577465","496,866197","3,727739","136,44422",,355,86,25,"2,76","141,6",",892142","46,068314",63,"9,126984","422,857143","2,546324","118,330847",,,20,38,"22,421053","717,5","6,385571","203,171064",471,"62,592357","2478,184713","18,167667","719,45691",
