PDS,ANZ_S,RTS_E27120.0,RTS_E27120.1,RTS_E27120.3,RTS_E27120.3.MW_A_PR,RTS_E27120.3.MW_M_PR,RTS_E27120.3.MW_A_PW,RTS_E27120.3.MW_M_PW,RTS_E27120.4,RTS_E27120.4.MW_A_PR,RTS_E27120.4.MW_M_PR,RTS_E27120.4.MW_A_PW,RTS_E27120.4.MW_M_PW,RTS_E27120.9,RTS_E27110.0,RTS_E27110.1,RTS_E27110.3,RTS_E27110.3.MW_A_PR,RTS_E27110.3.MW_M_PR,RTS_E27110.3.MW_A_PW,RTS_E27110.3.MW_M_PW,RTS_E27110.4,RTS_E27110.4.MW_A_PR,RTS_E27110.4.MW_M_PR,RTS_E27110.4.MW_A_PW,RTS_E27110.4.MW_M_PW,RTS_E27110.9,RTS_E27100.0,RTS_E27100.1,RTS_E27100.3,RTS_E27100.3.MW_A_PR,RTS_E27100.3.MW_M_PR,RTS_E27100.3.MW_A_PW,RTS_E27100.3.MW_M_PW,RTS_E27100.4,RTS_E27100.4.MW_A_PR,RTS_E27100.4.MW_M_PR,RTS_E27100.4.MW_A_PW,RTS_E27100.4.MW_M_PW,RTS_E27100.9,RTS_E27090.0,RTS_E27090.1,RTS_E27090.3,RTS_E27090.3.MW_A_PR,RTS_E27090.3.MW_M_PR,RTS_E27090.3.MW_A_PW,RTS_E27090.3.MW_M_PW,RTS_E27090.4,RTS_E27090.4.MW_A_PR,RTS_E27090.4.MW_M_PR,RTS_E27090.4.MW_A_PW,RTS_E27090.4.MW_M_PW,RTS_E27090.9,RTS_E27080.0,RTS_E27080.1,RTS_E27080.3,RTS_E27080.3.MW_A_PR,RTS_E27080.3.MW_M_PR,RTS_E27080.3.MW_A_PW,RTS_E27080.3.MW_M_PW,RTS_E27080.4,RTS_E27080.4.MW_A_PR,RTS_E27080.4.MW_M_PR,RTS_E27080.4.MW_A_PW,RTS_E27080.4.MW_M_PW,RTS_E27080.9,RTS_E27070.0,RTS_E27070.1,RTS_E27070.3,RTS_E27070.3.MW_A_PR,RTS_E27070.3.MW_M_PR,RTS_E27070.3.MW_A_PW,RTS_E27070.3.MW_M_PW,RTS_E27070.4,RTS_E27070.4.MW_A_PR,RTS_E27070.4.MW_M_PR,RTS_E27070.4.MW_A_PW,RTS_E27070.4.MW_M_PW,RTS_E27070.9,RTS_E27060.0,RTS_E27060.1,RTS_E27060.3,RTS_E27060.3.MW_A_PR,RTS_E27060.3.MW_M_PR,RTS_E27060.3.MW_A_PW,RTS_E27060.3.MW_M_PW,RTS_E27060.4,RTS_E27060.4.MW_A_PR,RTS_E27060.4.MW_M_PR,RTS_E27060.4.MW_A_PW,RTS_E27060.4.MW_M_PW,RTS_E27060.9,RTS_E27050.0,RTS_E27050.1,RTS_E27050.3,RTS_E27050.3.MW_A_PR,RTS_E27050.3.MW_M_PR,RTS_E27050.3.MW_A_PW,RTS_E27050.3.MW_M_PW,RTS_E27050.4,RTS_E27050.4.MW_A_PR,RTS_E27050.4.MW_M_PR,RTS_E27050.4.MW_A_PW,RTS_E27050.4.MW_M_PW,RTS_E27050.9,RTS_E27040.0,RTS_E27040.1,RTS_E27040.3,RTS_E27040.3.MW_A_PR,RTS_E27040.3.MW_M_PR,RTS_E27040.3.MW_A_PW,RTS_E27040.3.MW_M_PW,RTS_E27040.4,RTS_E27040.4.MW_A_PR,RTS_E27040.4.MW_M_PR,RTS_E27040.4.MW_A_PW,RTS_E27040.4.MW_M_PW,RTS_E27040.9,RTS_E27030.0,RTS_E27030.1,RTS_E27030.3,RTS_E27030.3.MW_A_PR,RTS_E27030.3.MW_M_PR,RTS_E27030.3.MW_A_PW,RTS_E27030.3.MW_M_PW,RTS_E27030.4,RTS_E27030.4.MW_A_PR,RTS_E27030.4.MW_M_PR,RTS_E27030.4.MW_A_PW,RTS_E27030.4.MW_M_PW,RTS_E27030.9,RTS_E27020.0,RTS_E27020.1,RTS_E27020.3,RTS_E27020.3.MW_A_PR,RTS_E27020.3.MW_M_PR,RTS_E27020.3.MW_A_PW,RTS_E27020.3.MW_M_PW,RTS_E27020.4,RTS_E27020.4.MW_A_PR,RTS_E27020.4.MW_M_PR,RTS_E27020.4.MW_A_PW,RTS_E27020.4.MW_M_PW,RTS_E27020.9,RTS_E27010.0,RTS_E27010.1,RTS_E27010.3,RTS_E27010.3.MW_A_PR,RTS_E27010.3.MW_M_PR,RTS_E27010.3.MW_A_PW,RTS_E27010.3.MW_M_PW,RTS_E27010.4,RTS_E27010.4.MW_A_PR,RTS_E27010.4.MW_M_PR,RTS_E27010.4.MW_A_PW,RTS_E27010.4.MW_M_PW,RTS_E27010.9
1642668,50,5,,,,,,,45,"1,955556","29,333333",",622184","9,332761",,5,,1,2,35,",56","9,8",44,"5,568182","88,522727","1,770966","28,155299",,38,,12,3,180,",966919","58,015152",,,,,,,5,,7,"6,142857","184,285714","1,752727","52,581818",38,"10,921053","327,631579","3,508527","105,255795",,5,,,,,,,45,"5,466667","316,333333","1,735698","100,462343",,,,1,3,160,"1,166667","62,222222",49,"6,55102","457,040816","2,075223","144,584312",,,,,,,,,50,"11,98","459,9","3,786824","145,409507",,,,49,2,90,",632142","28,446404",1,2,600,",636364","190,909091",,50,,,,,,,,,,,,,,16,10,10,288,"2,450046","70,508864",24,"9,458333","276,25","3,322649","97,04057",,1,2,7,"5,714286","171,428571","1,672222","50,166667",40,"11,725","351,75","3,757963","112,738896",,,,,,,,,50,"30,2",906,"9,287773","278,63318",
1642669,1491,,,,,,,,1491,"1,071093","16,066398",",344637","5,16955",,5,,43,1,30,",348393","10,451779",1443,"2,508663","113,388773",",792614","35,908698",,818,88,83,3,"173,73494",",973944","56,446048",502,"4,533865","263,984064","1,472369","85,720383",,397,160,171,"3,730994","156,666667","1,198958","50,232945",763,"7,891219","342,621232","2,457111","106,591916",,6,1,2,1,50,",35","17,5",1482,"3,058704","164,949393",",952298","51,629932",,,,,,,,,1491,"29,480215","883,715627","9,263385","276,946238",,,,,,,,,1491,"29,566063","736,187123","9,300672","232,9038",,16,98,,,,,,1377,"2,805374","168,235294",",897303","53,808234",,642,12,14,"1,928571","79,285714",",531472","22,8039",823,"14,041312","448,317132","4,352946","138,520123",,,6,219,"8,479452","266,232877","2,648206","82,914475",1266,"16,597156","493,64534","5,158302","153,279094",,725,56,159,"5,798742","173,962264","1,718822","51,564665",551,"8,032668","240,980036","2,482408","74,472238",,1,,3,"8,333333",250,"2,614198","78,425926",1487,"24,743779","739,441829","7,684391","229,648578",
1642670,763,21,,,,,,,742,"1,568733","48,456873",",522711","16,139568",,,,9,2,30,",677262","10,158936",754,"4,72679","99,350133","1,572383","33,080906",,533,64,65,3,"178,153846","1,024045","60,850576",101,"4,277228","251,287129","1,41953","83,427426",,148,89,284,"5,042254","151,267606","1,630865","48,925952",242,"6,623967","198,719008","2,271501","68,145029",,309,7,,,,,,447,"5,230425","175,41387","1,701778","57,266287",,,13,40,"5,05","136,5","1,706432","46,124505",710,"9,156338","293,239437","3,053948","97,62501",,,,,,,,,763,"12,735256","301,710354","4,250051","100,545698",,4,8,25,2,90,",692741","31,173333",726,"6,749311","325,764463","2,2362","107,948963",,605,6,32,"1,1875","60,9375",",410631","21,283701",120,"7,183333","253,25","2,362956","83,260524",,,31,74,"7,459459","225,608108","2,499724","75,641437",658,"19,56079","595,691489","6,446167","196,304092",,4,53,186,"4,935484","148,064516","1,642563","49,276875",520,"8,148077","244,442308","2,691355","80,740646",,1,,1,8,240,"2,8",84,761,"22,547963","676,438896","7,461882","223,856458",
1642671,42,,5,,,,,,37,"2,945946","56,081081",",924636","17,486181",,6,,1,1,30,",333333",10,35,"1,457143",71,",461354","22,412828",,31,1,1,3,180,"1,05",63,9,"5,222222","313,333333","1,594494","95,669637",,,,10,"6,3",189,"1,661263","49,837876",32,"8,15625","277,5","2,65071","89,976573",,13,,6,1,40,",282996","11,319826",23,"3,304348","179,130435","1,060558","57,539077",,1,2,4,"1,5",135,",454781","41,983543",35,"2,771429","253,714286",",866128","79,074058",,,,,,,,,42,"9,380952","407,142857","2,93466","128,554357",,,3,,,,,,39,"2,615385","156,923077",",825251","49,515051",,6,17,2,"3,5",105,",871648","26,149425",17,"4,117647","123,529412","1,31418","39,425406",,,2,2,"8,5",285,"2,831818","94,977273",38,"18,736842","621,973684","5,618845","186,320031",,,,,,,,,42,"13,809524","621,428571","4,20837","189,376627",,,,,,,,,42,"21,333333","916,428571","6,519195","280,442151",
1642672,76,38,,,,,,,38,"1,210526","36,315789",",348711","10,461337",,,,,,,,,76,"5,434211","171,315789","1,550834","49,350325",,62,5,9,3,180,",846111","50,766685",,,,,,,1,,3,6,190,"1,706552","53,610345",72,"12,222222",450,"3,468342","127,463644",,,,,,,,,76,"7,078947","399,868421","2,030866","114,838894",,1,,,,,,,75,"11,106667",634,"3,177166","181,121598",,,,,,,,,76,"9,894737","502,631579","2,832671","143,495158",,9,9,,,,,,58,"2,689655","161,37931",",774731","46,483841",,11,25,5,"2,4",96,",602989","23,289655",35,4,"198,857143","1,20841","60,301383",,,1,6,"9,166667",335,"2,453736","89,768658",69,"16,521739","620,869565","4,735333","178,018933",,,,,,,,,76,"14,236842","577,631579","4,048173","164,163559",,,1,11,14,"282,727273","3,87715","77,152403",64,"18,40625","472,734375","5,243957","135,196876",
1642673,31,3,,,,,,,28,1,30,",319551","9,586543",,2,,1,1,30,",388889","11,666667",28,"2,25","115,178571",",716801","36,633852",,31,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,31,"6,967742","397,258065","2,08297","118,764159",,,,,,,,,31,"6,709677","402,580645","2,093051","125,583089",,,2,,,,,,29,"11,413793","480,172414","3,588358","150,376321",,,2,,,,,,29,"3,310345","198,62069","1,027675","61,660527",,31,,,,,,,,,,,,,,7,17,"7,352941","357,352941","2,274462","110,459269",7,"8,857143","392,142857","3,201905","141,704762",,31,,,,,,,,,,,,,,,,,,,,31,"29,129032","1682,419355","9,080645","524,340508",
1642674,34,1,,,,,,,33,"1,030303","15,909091",",336165","5,169744",,17,10,7,2,"32,142857",",586618","9,409778",,,,,,,15,1,,,,,,18,"5,222222","253,333333","1,70289","82,423525",,,,1,3,150,"1,166667","58,333333",33,"5,757576","232,727273","1,823343","74,163104",,6,1,,,,,,27,"1,851852","86,666667",",608323","28,411686",,,,,,,,,34,"21,558824","956,764706","6,914318","305,186092",,,1,,,,,,33,"4,969697","237,272727","1,62413","77,601863",,,,,,,,,34,3,135,",978833","44,047474",,34,,,,,,,,,,,,,,5,18,"7,777778","300,833333","2,429813","93,67649",11,"10,181818",405,"3,426818","135,704545",,,6,27,"5,222222","156,666667","1,643823","49,314675",1,7,210,"2,041667","61,25",,,,,,,,,34,"28,676471","1009,852941","9,188994","323,532258",
1642675,48,48,,,,,,,,,,,,,,32,4,2,"37,5",",723334","13,494445",12,"2,75",80,",866177","27,47518",,23,8,16,3,180,"1,078516","64,710938",1,5,300,"1,75",105,,1,3,10,"4,6",147,"1,725","54,916667",34,"7,294118","248,823529","2,422064","82,969371",,1,1,1,1,50,",333333","16,666667",45,"2,955556","164,444444","1,056449","59,003271",,,,5,"1,6",132,",543879","44,672727",43,"2,860465","303,488372","1,01208","106,891207",,,,,,,,,48,"4,916667","229,6875","1,722408","80,599876",,47,1,,,,,,,,,,,,44,4,,,,,,,,,,,,,,1,10,510,"2,8","142,8",47,"12,978723","493,723404","4,508096","172,734943",,,1,5,5,180,"1,78744","63,942029",42,"7,857143","295,714286","2,618424","98,074676",,,1,,,,,,47,"18,276596","1095,531915","6,198603","371,634685",
1642676,301,45,,,,,,,256,"1,296875","19,453125",",409728","6,145916",,131,89,49,"1,755102","30,306122",",559813","9,702534",32,"3,3125","63,4375",",99614","19,290893",,224,10,67,3,180,"1,000876","60,052567",,,,,,,69,7,48,"5,083333","162,1875","1,649659","52,746245",177,"6,440678","251,949153","2,076723","81,041515",,203,,,,,,,98,"2,755102","165,306122",",869211","52,152674",,28,10,124,1,120,",330624","39,674897",139,"10,906475","440,071942","3,513793","142,331807",,,,,,,,,301,"11,644518","331,92691","3,770744","107,817495",,39,,261,2,90,",656042","29,521868",1,4,180,"1,037037","46,666667",,278,1,2,1,60,",35",21,20,"7,6",197,"2,204582","57,487027",,3,9,34,"8,029412",465,"2,600546","150,753858",255,"18,666667","914,117647","6,061734","297,613051",,11,17,186,"5,172043","277,741935","1,685955","90,383228",87,"6,666667","363,448276","2,13905","116,706588",,1,6,19,8,"257,368421","2,528775","81,942195",275,"17,425455","658,8","5,7041","216,496831",
1642677,196,1,,,,,,,195,"3,020513","44,307692",",980585","14,389112",,3,,1,1,30,",35","10,5",192,"3,260417","87,239583","1,048144","28,011971",,158,7,4,3,180,",938195","56,291667",27,"5,111111","306,666667","1,640105","98,406272",,25,17,21,"3,714286","148,571429","1,245062","49,802469",133,"8,639098","345,56391","2,712928","108,517133",,107,19,,,,,,70,"2,971429","164,428571",",874045","48,283008",,,30,32,"4,15625","166,5625","1,347401","53,737189",134,"5,619403","292,089552","1,809364","93,985601",,,,1,5,105,"1,944444","40,833333",195,"21,815385","445,076923","7,078814","144,494999",,6,19,5,2,95,",663704","31,344444",166,"3,349398",180,"1,083904","58,2787",,1,143,6,3,75,"1,059211","26,480263",46,"8,043478","252,065217","2,371472","74,217649",,,2,18,"8,333333",250,"2,650768","79,523029",176,"25,119318","759,375","7,985471","241,245598",,51,63,26,"5,038462","263,076923","1,586891","83,298294",56,"11,821429","476,785714","3,746733","151,600811",,1,3,1,8,240,"2,8",84,191,"26,596859","795,759162","8,442472","252,59887",
1642678,333,36,,,,,,,297,"1,144781","32,929293",",397024","11,434737",,35,,15,1,30,",354074","10,622222",283,"5,40636","114,116608","1,871324","39,471779",,194,30,30,3,180,"1,059315","63,558892",79,"4,012658","240,759494","1,383295","82,997698",,61,32,51,"3,568627","131,764706","1,249671","46,274441",189,"7,31746","316,666667","2,518016","109,040531",,72,,118,1,45,",352269","15,85212",143,"3,006993","199,090909","1,023824","67,815114",,46,13,36,"2,666667","128,75",",886595","43,505864",238,"16,735294","406,44958","5,769418","140,677105",,,,,,,,,333,"11,078078","339,219219","3,82946","116,986774",,,16,7,2,"102,857143",",674074","34,638889",310,"3,874194","216,241935","1,350632","75,364402",,34,47,102,"1,078431","61,764706",",374702","21,597224",150,"2,726667","121,7",",931976","42,08492",,,15,54,7,210,"2,462378","73,871351",264,"19,083333","572,5","6,543197","196,295906",,1,5,5,"4,8",174,"1,68","60,9",322,"10,301242","339,689441","3,555122","117,302753",,1,2,,,,,,330,"28,572727","1027,454545","9,864882","354,819937",
1642679,470,25,,,,,,,445,"1,764045","38,325843",",554393","12,050653",,,1,1,2,30,",636364","9,545455",468,"3,852564","115,608974","1,20021","36,109676",,327,85,4,2,150,",537201","40,290033",54,3,210,",916077","64,125382",,32,145,103,"4,737864","173,883495","1,277564","47,077989",190,"4,968421","183,473684","1,72774","63,625179",,54,1,2,2,45,",683334","15,375",413,"2,583535","124,285714",",774763","37,633628",,3,42,28,"1,285714","122,5",",42319","40,57197",397,"2,332494","198,261965",",727433","61,858816",,,,,,,,,470,"13,008511","337,148936","4,076834","105,195172",,1,34,,,,,,435,"2,117241","127,034483",",662773","39,766355",,233,2,8,"1,25","67,5",",411193","22,046569",227,"5,863436","299,427313","1,741119","89,09664",,,1,66,"8,712121","261,363636","2,659299","79,778968",403,"19,960298","629,888337","6,111011","192,388998",,30,67,25,"4,96","177,6","1,594472","57,030946",348,"9,287356","459,655172","2,83454","140,573529",,2,10,2,"7,5",315,"2,625","110,25",456,"20,410088","682,697368","6,221726","208,258069",
1642680,315,1,,,,,,,314,"2,592357","42,340764",",8452","13,792335",,,5,3,3,"36,666667",",959259","11,774691",307,"7,674267","167,068404","2,498298","54,524442",,236,17,19,3,180,",994265","59,65587",43,"4,023256","241,395349","1,290384","77,423051",,49,103,84,"4,77381","143,214286","1,591861","47,755823",79,"6,582278","199,367089","2,204329","66,622141",,56,1,9,1,45,",35","15,75",249,"2,180723","126,084337",",707963","40,94094",,,14,34,"4,323529","146,617647","1,38806","47,021944",267,"6,093633","337,752809","2,029694","112,544169",,,,,,,,,315,"13,831746","356,730159","4,564472","117,823467",,5,68,,,,,,242,"2,367769","142,066116",",775314","46,51884",,,17,40,"3,15","97,625",",858287","26,455562",258,"4,01938",140,"1,353322","46,965686",,,,,,,,,315,"26,926984","625,380952","8,827031","205,080212",,68,39,59,"4,694915","144,915254","1,598034","49,318596",149,"7,946309","256,308725","2,56044","82,71406",,,4,5,"9,6",244,"2,998832","76,481481",306,"17,035948","522,712418","5,57558","171,178946",
1642681,126,19,,,,,,,107,"1,280374","19,205607",",408374","6,125607",,2,48,16,2,30,",659108","9,886624",60,"2,666667",68,",835645","21,432594",,93,4,9,3,180,",963138","57,788271",20,"4,1",246,"1,296049","77,762912",,59,34,8,"5,375","161,25","1,548512","46,455358",25,"7,24","217,2","2,484492","74,534773",,6,,,,,,,120,"3,108333","159,75",",986937","50,95657",,1,20,22,"2,909091","124,772727",",917869","39,384132",83,"3,638554","204,939759","1,178239","66,87121",,,1,9,"4,888889",100,"1,676911","34,320013",116,"9,318966","213,706897","3,007203","68,916784",,1,18,46,2,"91,304348",",646251","29,494568",61,"3,032787","136,967213",",968173","43,739899",,69,8,8,"2,375","71,25",",755002","22,650058",41,"5,634146","169,02439","1,771083","53,132491",,,1,40,"8,35","246,375","2,674284","78,947137",85,"12,729412","365,823529","4,00159","114,988504",,44,4,7,"4,714286","141,428571","1,65","49,5",71,"9,774648","300,422535","3,151198","97,255864",,,3,4,"6,75","202,5","2,390132","71,703947",119,"17,596639","528,403361","5,577986","167,504555",
1642682,253,11,,,,,,,242,"1,070248","21,694215",",345005","6,974711",,1,,,,,,,252,"1,559524","87,678571",",498309","27,969174",,219,1,15,"2,866667",176,",988869","60,732164",18,"3,611111",250,"1,08753","75,679917",,231,9,6,"3,5","167,5","1,009286","47,476674",7,"5,285714","244,285714","1,609195","74,663793",,4,1,,,,,,248,"2,459677","119,939516",",793362","38,807227",,1,9,130,"2,092308","122,769231",",683012","40,061465",113,"3,40708","279,823009","1,112857","91,531166",,,,,,,,,253,"14,561265","374,565217","4,753337","122,08426",,1,1,,,,,,251,"3,968127","238,087649","1,295532","77,731918",,194,,3,1,60,",35",21,56,"5,75","320,625","1,761176","100,233063",,,15,10,"8,2",252,"2,53697","78,209091",228,"23,403509","703,947368","7,399252","222,553186",,1,38,101,"4,970297","149,108911","1,617589","48,527661",113,"9,256637","277,699115","2,892994","86,789831",,4,4,21,"8,238095","257,142857","2,517309","78,519263",224,"14,348214","465,848214","4,560243","147,935969",
1642683,86,7,,,,,,,79,"1,101266","16,518987",",360111","5,40167",,,,,,,,,86,"5,360465","122,965116","1,747408","40,172068",,70,15,,,,,,1,4,240,",933333",56,,23,38,16,"3,3125","145,3125","1,086537","47,921931",9,"4,444444",200,"1,555556",70,,75,,4,1,45,",318952","14,352823",7,"2,714286","122,142857",",838941","37,752322",,,,,,,,,86,"41,360465","1220,523256","13,452685","399,454292",,,,,,,,,86,"8,197674","301,686047","2,696339","99,123666",,2,13,22,2,105,",663826","34,850842",49,"2,714286","152,142857",",892221","50,075936",,82,,,,,,,4,5,150,"1,497794","44,933824",,2,14,23,"7,565217","443,478261","2,516378","148,277388",47,"11,829787","614,042553","3,900831","200,539201",,8,21,5,"5,2",180,"1,656667","58,1",52,"10,461538","374,423077","3,438942","123,246401",,,1,1,7,210,"2,45","73,5",84,"16,547619","496,309524","5,290905","158,685474",
1642684,162,10,,,,,,,152,"1,013158","15,296053",",335541","5,067649",,,7,2,2,30,",7","10,5",153,"3,366013","66,372549","1,109186","21,840074",,124,8,4,3,"177,5",",961521","56,816266",26,4,"238,846154","1,374982","82,111764",,17,14,17,"2,235294","134,117647",",732026","43,921569",114,"4,342105","260,526316","1,419806","85,188339",,27,,,,,,,135,"3,651852","189,888889","1,185291","61,990009",,,6,6,2,120,",645647","38,738791",150,"4,78","363,166667","1,578044","120,097429",,,,,,,,,162,"10,333333","316,419753","3,414604","104,150452",,2,7,,,,,,153,"4,281046","265,718954","1,402469","86,974032",,120,2,2,2,90,",503268","24,019608",38,"7,210526",240,"2,346498","78,310882",,,,2,8,270,"2,617392","89,021739",160,"17,68125","711,375","5,740822","232,369972",,2,1,8,"6,125","183,75","1,762245","52,867333",151,"8,761589","262,847682","2,864207","85,926198",,,3,1,8,240,"2,8",84,158,"16,056962","491,962025","5,208188","159,588472",
1642685,224,2,,,,,,,222,"1,81982","42,297297",",605129","14,044911",,1,,3,1,30,",301961","9,058824",220,"1,968182","88,363636",",651812","29,312248",,151,3,5,2,150,",707368","53,052632",65,3,210,"1,018016","71,261102",,19,13,70,"2,642857","145,714286",",816291","45,010801",122,"3,196721","185,901639","1,106416","64,262034",,164,1,,,,,,59,"2,508475","137,288136",",781808","42,779989",,,24,76,"4,118421","147,631579","1,386599","49,504748",124,"6,040323","314,395161","1,997007","104,086889",,,1,,,,,,223,"6,040359","298,09417","2,009501","99,179599",,5,,,,,,,219,"4,913242","294,794521","1,633796","98,027773",,198,3,1,1,60,",35",21,22,5,"224,318182","1,659962","74,936107",,,,1,8,240,"2,8",84,223,"20,55157","682,802691","6,704746","222,844173",,27,3,15,"5,133333",231,"1,6629","74,83049",179,"7,782123","346,340782","2,547503","113,479328",,,1,1,11,330,"2,961538","88,846154",222,"27,495495","825,945946","8,99799","270,349611",
1642686,111,,,,,,,,111,"1,135135","17,027027",",373045","5,595672",,,,,,,,,111,"7,207207","265,765766","2,346727","86,869421",,85,,8,2,150,",677315","50,798611",18,3,225,",954339","71,575447",,38,2,1,2,120,",7",42,70,"4,871429","292,285714","1,544322","92,659314",,49,,,,,,,62,"1,870968","112,258065",",589964","35,397861",,,5,16,"2,0625","122,8125",",685309","40,773119",90,"4,966667","464,666667","1,626034","152,505219",,,,23,"2,130435","91,304348",",705104","30,075784",88,"5,465909","274,431818","1,778412","89,169552",,,,,,,,,111,"3,531532","214,594595","1,154331","70,156731",,74,5,3,2,65,",7","22,75",29,"5,724138","355,344828","1,719261","109,438781",,1,6,6,"8,333333",320,"2,614198","96,574074",98,"24,142857","1271,938776","7,801198","412,751679",,31,3,5,"4,6",276,"1,482963","88,977778",72,"11,513889","662,916667","3,743384","216,268963",,,7,41,"7,658537","275,121951","2,519408","91,460277",63,"13,571429","530,47619","4,287816","167,268553",
1642687,253,14,,,,,,,239,"2,962343","44,435146",",970437","14,556551",,1,,14,1,30,",32535","9,760488",238,"3,222689","108,403361","1,041526","35,074169",,182,5,16,2,150,",675996","50,699658",50,3,225,",986655","73,999145",,129,14,38,"4,026316","181,973684","1,111127","50,277056",72,"5,208333","252,083333","1,765603","85,204112",,,,,,,,,253,"2,711462","192,687747",",864427","61,320595",,,,7,"3,285714","124,285714","1,155229","43,267974",246,"28,49187","966,707317","9,140481","310,332538",,,,6,"3,166667","92,5","1,074396","31,398551",247,"6,157895","239,696356","2,010255","78,001149",,4,42,8,"1,875","103,125",",588195","32,520833",199,"4,316583","279,497487","1,416383","91,59037",,245,3,,,,,,5,"5,4",180,"1,89",63,,28,13,48,"7,666667","261,25","2,449412","83,385371",164,"16,664634","545,945122","5,327093","174,61483",,21,11,14,5,"190,714286","1,709947","66,494496",207,"10,502415","362,608696","3,335295","115,59075",,3,4,9,9,270,"2,591565","77,746942",237,"18,383966","551,518987","5,902035","177,061055",
1642688,623,17,,,,,,,606,"1,10066","16,716172",",37083","5,627939",,239,45,144,"1,256944","31,354167",",424001","10,575402",195,"2,758974","103,769231",",904964","34,110579",,447,17,38,3,"179,605263","1,008556","60,411006",121,"4,024793","241,322314","1,339445","80,321144",,186,91,99,"3,060606","144,848485","1,01353","47,695311",247,"4,493927","257,874494","1,48528","85,293071",,330,4,,,,,,289,"3,117647","183,944637","1,01113","59,685026",,,12,5,"3,2",150,"1,134737","53,052632",606,"6,235974","297,623762","2,099072","100,168073",,,,,,,,,623,"11,751204","428,868379","3,935085","143,928087",,15,37,,,,,,571,"2,054291","123,257443",",691107","41,466447",,534,2,2,"1,5",75,",47069","21,362069",85,"6,023529","609,882353","2,002711","202,91464",,,18,52,"7,615385","235,096154","2,54877","78,575814",553,"16,927667","542,332731","5,62227","180,205855",,162,69,121,"4,826446","144,793388","1,631711","48,951343",271,"7,324723","219,741697","2,419926","72,597789",,,2,9,"7,333333","256,666667","2,534848","88,613636",612,"16,362745","626,593137","5,452606","208,807352",
1642689,234,1,,,,,,,233,"1,450644","27,939914",",455659","8,720114",,,22,7,"1,142857","31,428571",",369529","10,085859",205,"2,580488","62,878049",",816011","20,008591",,197,11,25,3,177,",942556","55,511111",1,4,240,",965517","57,931034",,70,75,46,"3,586957","158,804348","1,102618","48,810445",43,"9,418605","335,930233","3,044205","108,78464",,43,,56,1,"46,964286",",314272","14,763317",135,"1,622222","88,185185",",5108","27,817453",,4,149,37,"3,72973","143,108108","1,142993","44,342725",44,"5,045455","273,409091","1,576413","85,928088",,,,3,6,"106,666667","1,967982","33,415022",231,"10,354978","242,034632","3,272861","76,565478",,25,40,36,2,105,",643981","33,808997",133,"3,345865","183,270677","1,049027","57,390527",,221,4,1,2,60,",7",21,8,"7,125","228,75","2,273607","72,097097",,,,,,,,,234,"37,230769","1419,059829","11,561662","441,455471",,14,29,45,"5,4",209,"1,599352","61,95187",146,"8,59589","265,171233","2,696181","82,959877",,1,10,18,"7,5","231,666667","2,492897","77,056235",205,"13,4","412,268293","4,158721","128,045833",
1642690,525,57,,,,,,,468,"1,410256","25,096154",",44732","7,951536",,2,,2,1,30,",35","10,5",521,"1,859885","71,775432",",58092","22,503322",,400,74,36,3,180,",951924","57,115451",15,4,240,"1,274244","76,454661",,163,99,112,"2,607143","154,821429",",75125","44,512479",151,"4,430464","260,662252","1,45999","86,167679",,59,6,,,,,,460,"1,623913","95,086957",",513768","30,063611",,,,,,,,,525,"26,929524","921,742857","8,289482","284,877212",,,,5,"4,2",106,"1,47","37,1",520,"13,576923","384,009615","4,251226","120,465101",,59,5,,,,,,461,"3,791757","227,505423","1,192948","71,576865",,480,,1,1,60,",35",21,44,"9,204545","362,045455","2,664558","104,438517",,4,60,161,"8,546584","260,310559","2,523295","76,844024",300,"13,086667","424,7","4,075217","131,137027",,199,35,46,"5,217391","156,521739","1,638309","49,14928",245,"10,759184","322,77551","3,21763","96,528913",,1,9,6,"7,833333",235,"2,620679","78,620371",509,"27,043222","848,222004","8,246426","257,800398",
1642691,450,246,,,,,,,204,"1,490196","23,357843",",493049","7,72545",,17,161,59,"1,881356","30,508475",",64797","10,525086",213,"2,924883","62,488263",",976872","20,901301",,267,115,26,3,"171,923077","1,037115","59,400004",42,"4,52381","253,571429","1,538458","86,207361",,207,32,23,"3,521739","162,608696","1,091593","50,443761",188,"5,542553","257,978723","1,860715","86,54589",,171,1,53,1,50,",332409","16,620454",225,"2,933333","146,577778",",980632","49,000467",,5,42,261,"2,072797","121,724138",",70633","41,493885",142,"5,049296","293,661972","1,68432","98,194552",,,,1,3,105,"1,05","36,75",449,"11,86637","332,260579","4,011398","112,445681",,5,23,4,1,90,",354605","31,914474",418,"2,009569","142,464115",",681463","48,33109",,360,5,9,"2,222222","66,666667",",73284","21,985185",76,"5,934211","231,513158","1,957164","76,255551",,,2,1,7,210,"2,45","73,5",447,"42,266219","1192,472036","14,083547","397,78958",,77,30,234,"4,970085","296,794872","1,664411","99,380343",109,"6,330275","377,889908","2,141564","127,819532",,1,1,2,"7,5",225,"2,761111","82,833334",446,"18,591928","588,699552","6,225079","197,133523",
