PDS,ANZ_S,RTS_E55010.0,RTS_E55010.1,RTS_E55010.3,RTS_E55010.3.MW_A_PR,RTS_E55010.3.MW_M_PR,RTS_E55010.3.MW_A_PW,RTS_E55010.3.MW_M_PW,RTS_E55010.4,RTS_E55010.4.MW_A_PR,RTS_E55010.4.MW_M_PR,RTS_E55010.4.MW_A_PW,RTS_E55010.4.MW_M_PW,RTS_E55010.9,RTS_E55020.0,RTS_E55020.1,RTS_E55020.3,RTS_E55020.3.MW_A_PR,RTS_E55020.3.MW_M_PR,RTS_E55020.3.MW_A_PW,RTS_E55020.3.MW_M_PW,RTS_E55020.4,RTS_E55020.4.MW_A_PR,RTS_E55020.4.MW_M_PR,RTS_E55020.4.MW_A_PW,RTS_E55020.4.MW_M_PW,RTS_E55020.9,RTS_E55030.0,RTS_E55030.1,RTS_E55030.3,RTS_E55030.3.MW_A_PR,RTS_E55030.3.MW_M_PR,RTS_E55030.3.MW_A_PW,RTS_E55030.3.MW_M_PW,RTS_E55030.4,RTS_E55030.4.MW_A_PR,RTS_E55030.4.MW_M_PR,RTS_E55030.4.MW_A_PW,RTS_E55030.4.MW_M_PW,RTS_E55030.9,RTS_E55040.0,RTS_E55040.1,RTS_E55040.3,RTS_E55040.3.MW_A_PR,RTS_E55040.3.MW_M_PR,RTS_E55040.3.MW_A_PW,RTS_E55040.3.MW_M_PW,RTS_E55040.4,RTS_E55040.4.MW_A_PR,RTS_E55040.4.MW_M_PR,RTS_E55040.4.MW_A_PW,RTS_E55040.4.MW_M_PW,RTS_E55040.9,RTS_E55050.0,RTS_E55050.1,RTS_E55050.3,RTS_E55050.3.MW_A_PR,RTS_E55050.3.MW_M_PR,RTS_E55050.3.MW_A_PW,RTS_E55050.3.MW_M_PW,RTS_E55050.4,RTS_E55050.4.MW_A_PR,RTS_E55050.4.MW_M_PR,RTS_E55050.4.MW_A_PW,RTS_E55050.4.MW_M_PW,RTS_E55050.9,RTS_E55060.0,RTS_E55060.1,RTS_E55060.3,RTS_E55060.3.MW_A_PR,RTS_E55060.3.MW_M_PR,RTS_E55060.3.MW_A_PW,RTS_E55060.3.MW_M_PW,RTS_E55060.4,RTS_E55060.4.MW_A_PR,RTS_E55060.4.MW_M_PR,RTS_E55060.4.MW_A_PW,RTS_E55060.4.MW_M_PW,RTS_E55060.9,RTS_E55070.0,RTS_E55070.1,RTS_E55070.3,RTS_E55070.3.MW_A_PR,RTS_E55070.3.MW_M_PR,RTS_E55070.3.MW_A_PW,RTS_E55070.3.MW_M_PW,RTS_E55070.4,RTS_E55070.4.MW_A_PR,RTS_E55070.4.MW_M_PR,RTS_E55070.4.MW_A_PW,RTS_E55070.4.MW_M_PW,RTS_E55070.9,RTS_E55080.0,RTS_E55080.1,RTS_E55080.3,RTS_E55080.3.MW_A_PR,RTS_E55080.3.MW_M_PR,RTS_E55080.3.MW_A_PW,RTS_E55080.3.MW_M_PW,RTS_E55080.4,RTS_E55080.4.MW_A_PR,RTS_E55080.4.MW_M_PR,RTS_E55080.4.MW_A_PW,RTS_E55080.4.MW_M_PW,RTS_E55080.9,RTS_E55090.0,RTS_E55090.1,RTS_E55090.3,RTS_E55090.3.MW_A_PR,RTS_E55090.3.MW_M_PR,RTS_E55090.3.MW_A_PW,RTS_E55090.3.MW_M_PW,RTS_E55090.4,RTS_E55090.4.MW_A_PR,RTS_E55090.4.MW_M_PR,RTS_E55090.4.MW_A_PW,RTS_E55090.4.MW_M_PW,RTS_E55090.9
7821132,1044,,4,23,"23,304348",635,"7,784926","211,410775",1017,"46,930187","1367,07473","15,092795","439,358372",,529,332,54,"5,425926","223,703704","1,720389","71,24179",129,"8,930233","484,496124","2,733423","149,26563",,39,48,101,"4,49505","148,514851","1,486361","48,974201",856,"11,242991","380,578271","3,605037","121,794135",,,28,130,"6,115385","152,846154","2,085475","52,1171",886,"9,577878","274,339729","3,092841","88,762421",,980,64,,,,,,,,,,,,375,79,119,"1,168067","34,789916",",381729","11,361596",471,"3,025478","80,902335",",971827","26,019116",,7,260,96,2,45,",662961","14,916613",681,"3,624082","125,176211","1,154816","40,015272",,23,,,,,,,1021,"1,547502","24,520078",",502065","7,96156",,220,414,54,"4,111111","152,685185","1,337176","49,741487",356,"8,02809","387,078652","2,515693","121,194299",
7821133,197,,10,23,"19,521739","628,043478","6,422303","206,559179",164,"45,219512","1670,853659","14,246927","526,68514",,77,71,28,"5,464286","244,642857","1,668433","75,017759",21,"8,380952","397,142857","2,504042","118,282837",,19,17,37,"4,189189","169,864865","1,193295","48,768235",124,"6,879032","255,604839","2,270556","84,343366",,,,6,"5,833333",140,"1,996296","46,958333",191,"9,643979","226,256545","3,065876","72,370655",,137,4,1,2,90,",7","31,5",55,2,"121,636364",",680202","41,335354",,109,27,12,"1,5","33,333333",",456007","9,966866",49,"2,714286","109,081633",",857625","34,739029",,,,2,"1,5",45,",534211","16,164474",195,"3,041026","78,076923",",977135","25,129778",,2,,,,,,,195,"1,133333","18,923077",",364177","6,054551",,118,8,12,"7,916667","198,75","1,989599","50,395526",59,"14,694915","336,779661","4,69666","106,895681",
7821134,25,1,3,4,22,"806,25","5,383442","198,419118",17,"44,352941","1716,764706","13,03805","508,454953",,14,11,,,,,,,,,,,,23,1,1,4,200,"1,037037","51,851852",,,,,,,,12,4,6,"141,25","1,819771","41,350899",9,"9,666667","238,888889","2,61352","63,843864",,25,,,,,,,,,,,,,18,,1,1,30,",259259","7,777778",6,"1,166667",70,",32382","19,429194",,3,1,2,"1,5","42,5",",335512","9,950981",19,"2,789474","111,578947",",777537","31,767687",,8,,,,,,,17,"1,058824","45,588235",",299583","13,004678",,2,19,1,8,220,"2,074074","57,037037",3,"10,666667",290,"3,340123","90,611111",
7821135,471,,5,11,"23,181818","695,454545","6,852153","205,564597",455,"46,426374","1696,725275","14,663805","534,89297",,230,170,32,"3,21875","223,125",",998579","69,485554",39,"6,358974","606,923077","1,986944","186,986285",,182,20,18,"2,722222","148,333333",",837789","45,01732",251,"4,446215","265,338645","1,427541","85,213982",,,80,119,"4,613445","142,310924","1,483205","46,206368",272,"6,691176","265,588235","2,102924","84,334327",,415,33,,,,,,23,"1,173913","127,826087",",374146","40,818427",,55,,1,4,40,",933333","9,333333",415,"19,315663","259,156627","6,157402","82,692282",,101,39,18,"2,222222","46,111111",",679618","14,231511",313,"2,43131","77,587859",",766875","24,706117",,15,,,,,,,456,"1,234649","35,986842",",392154","11,474281",,203,62,79,"5,037975","151,139241","1,629016","48,870477",127,"8,866142","269,527559","2,702268","82,228568",
7821136,30,,,3,"26,666667",910,"5,821741","203,170732",27,"34,851852","1475,555556","8,101188","342,106254",,2,19,3,"4,333333",250,"1,145679","65,240741",6,8,480,"1,825772","108,194777",,18,2,1,4,240,",682927","40,97561",9,"5,444444","326,666667","1,260838","75,650253",,,5,15,"3,666667",152,",953287","38,569448",10,"7,9",216,"1,785876","49,149706",,30,,,,,,,,,,,,,15,,3,1,30,",260062","7,801858",12,"2,75",105,",617331","24,009708",,,,,,,,,30,"2,866667",161,",689171","38,411884",,1,,,,,,,29,"2,310345","47,068966",",547761","11,03286",,,2,,,,,,28,"29,75","1124,107143","6,838095","258,461366",
7821137,405,,33,55,"22,781818","688,909091","6,843956","206,720768",317,"34,570978","1238,044164","10,847054","388,72185",,117,224,36,"5,166667","237,777778","1,600269","73,622482",28,"8,071429","378,214286","2,489184","116,468167",,243,19,29,"5,172414","189,827586","1,389619","49,889685",114,"6,201754","283,947368","2,03619","93,206771",,14,209,147,"3,843537","142,108844","1,249413","46,259367",35,"4,885714","201,428571","1,566694","64,737764",,270,8,,,,,,127,"3,582677","214,96063","1,159574","69,574421",,158,,1,1,30,",35","10,5",246,"1,178862","52,378049",",375037","16,72999",,1,57,72,"1,958333",45,",647714","14,901694",275,"3,014545","91,945455",",97277","29,704254",,18,,,,,,,387,"1,751938","41,937984",",562511","13,483789",,199,93,26,"5,923077","169,038462","1,729433","49,288068",87,"10,505747","306,83908","3,335554","97,418924",
7821138,708,1,19,66,"22,30303","644,69697","7,193696","207,237704",622,"40,572347","1362,395498","12,639293","424,352231",,156,480,28,"4,321429","225,535714","1,416819","73,712891",44,"6,477273","345,454545","2,044398","109,589708",,255,252,188,"3,430851","136,914894","1,186892","47,367208",13,"5,230769","216,153846","1,70516","70,333159",,1,52,187,"3,44385","156,016043","1,137889","51,516268",468,"4,820513","231,292735","1,557364","74,608161",,294,216,,,,,,198,2,150,",655482","49,161167",,56,27,18,2,40,",694304","13,886083",607,"3,538715","148,467875","1,150659","48,297365",,4,247,20,2,50,",651299","16,282481",437,"3,743707","121,441648","1,172708","37,950375",,500,,,,,,,208,"1,129808","44,639423",",356032","13,997968",,241,96,96,"5,114583","154,791667","1,613028","48,902489",275,"11,887273","359,381818","3,810471","115,270933",
7821139,152,,3,9,"24,333333","694,444444","7,542716","214,606173",140,38,"1255,607143","11,913354","393,934987",,27,57,30,"3,8","257,5","1,086182","73,839325",38,"5,921053","409,605263","1,871543","129,646305",,28,29,71,"3,56338","151,197183","1,138185","48,309403",24,"4,541667","199,166667","1,524864","66,795956",,66,61,18,"2,111111","123,333333",",6523","37,971314",7,"3,428571",180,"1,086383","56,960784",,152,,,,,,,,,,,,,58,,3,1,30,",35","10,5",91,"1,879121","130,879121",",585762","40,788197",,20,41,2,2,45,",60926","13,708334",89,"2,449438","111,741573",",774556","35,455075",,24,,,,,,,128,"1,398438","31,132813",",448362","9,922521",,77,8,9,"4,555556","156,666667","1,466407","49,177388",58,"10,672414","354,827586","3,26532","108,855206",
7821140,52,,,,,,,,52,"52,576923","1802,019231","13,330296","456,898693",,,,,,,,,52,"12,5","931,153846","3,183258","237,263795",,7,13,16,"4,9375","223,75","1,220043","55,257013",16,"6,375","286,25","1,652778","74,212963",,,12,9,4,155,"1,053643","40,416485",31,"5,516129","226,129032","1,395671","57,205531",,27,16,,,,,,9,2,120,",518519","31,111111",,,,,,,,,52,"6,788462","188,173077","1,732051","48,111729",,,,,,,,,52,"6,75","351,346154","1,728957","89,933415",,1,,,,,,,51,1,45,",255805","11,511246",,,14,3,"3,333333",175,",864198","45,370371",35,"6,342857","356,142857","1,605708","89,869608",
7821141,526,,37,92,"18,554348","674,293478","5,573571","203,900818",397,"33,413098","1387,241814","10,112585","420,680525",,272,98,25,"4,76",237,"1,461597","72,419385",131,"9,427481","675,381679","2,781355","199,945169",,316,37,62,"3,193548","154,919355",",967871","46,323497",111,"5,387387","280,945946","1,679847","86,934098",,,7,170,"5,135294","142,147059","1,6329","45,568903",349,"10,083095","359,613181","3,078682","110,96053",,406,84,3,1,90,",301961","27,176471",33,"3,272727","269,090909","1,077159","88,428554",,136,28,68,"1,102941",30,",333968","9,018237",294,"4,044218","123,673469","1,216269","37,285497",,69,19,157,"1,55414","49,490446",",483303","15,445124",281,"2,761566","113,345196",",838644","34,583451",,87,,,,,,,439,"2,316629","87,733485",",694037","26,206856",,311,30,3,5,155,"1,615385","50,211538",182,"17,785714","579,917582","5,267454","171,679492",
7821142,238,,1,15,"20,666667","664,333333","6,575679","211,09321",222,"31,810811","1062,004505","10,538172","351,540509",,32,97,46,"3,73913","236,086957","1,19925","75,485851",63,"4,825397","339,047619","1,638284","115,561876",,26,15,58,4,"157,068966","1,251526","49,248649",139,"5,647482","208,057554","1,927751","71,211431",,,12,77,"4,025974","150,38961","1,337727","49,949284",149,"6,33557","287,516779","2,132923","96,71973",,18,28,82,2,90,",671667","30,225026",110,3,135,",997545","44,889534",,85,11,9,"1,666667","34,444444",",557407","11,537037",133,"1,909774","71,12782",",625592","23,494218",,34,16,23,2,40,",680837","13,616747",165,"2,490909","87,636364",",836861","29,460001",,20,,,,,,,218,"1,316514","20,137615",",438958","6,71132",,109,15,52,"5,019231","150,576923","1,609428","48,282839",62,"6,370968","191,129032","2,214663","66,439887",
7821143,148,,,,,,,,148,"57,290541","1863,243243","17,267024","562,068895",,7,12,21,"3,857143","232,857143","1,176638","70,997151",108,"14,064815",835,"4,290364","254,772215",,3,33,18,"5,055556","151,666667","1,525752","45,772555",94,"16,882979","506,489362","5,029618","150,888554",,,,8,"6,625","151,875","2,171296","49,583333",140,"9,928571","300,642857","3,025517","92,225925",,69,,31,2,90,",629062","28,307771",48,4,180,"1,215051","54,677306",,8,,1,1,30,",35","10,5",139,"2,71223","89,892086",",832083","27,568192",,21,6,,,,,,121,"1,77686","80,206612",",538192","24,563699",,,,,,,,,148,"5,324324","190,540541","1,647952","59,078912",,59,27,12,"4,083333",150,"1,229986","45,844017",50,"10,38",414,"3,151344","125,613066",
7821144,28,,,1,19,570,"6,65","199,5",27,"45,148148","1478,888889","13,189913","432,185205",,1,3,9,4,"226,666667","1,304432","73,682574",15,"7,6",420,"2,04865","113,308733",,,1,1,3,120,1,40,26,"14,115385","714,230769","4,009774","201,38104",,,,4,4,160,"1,211823","48,472934",24,6,"267,708333","1,819452","81,132274",,5,23,,,,,,,,,,,,1,,,,,,,27,"1,962963","125,555556",",57954","36,871109",,,1,,,,,,27,"3,740741","94,444444","1,091934","27,897709",,,,,,,,,28,"2,035714","45,535714",",620831","13,874941",,6,6,7,"5,857143","175,714286","1,61176","48,352785",9,"9,333333",280,"2,696594","80,897829",
7821145,93,,1,2,25,780,"6,588236","208,147059",90,"46,411111","1432,444444","14,094937","434,039925",,31,55,4,"3,75",210,"1,151759","63,855556",3,7,420,"2,177778","130,666667",,28,6,10,"4,3",198,"1,136082","52,39491",49,"5,55102","254,591837","1,737021","79,712597",,9,72,7,3,"154,285714",",933333","47,972222",5,"4,4",216,"1,170632","57,297059",,73,17,,,,,,3,2,120,",58566","35,139601",,56,,11,1,30,",319599","9,587975",26,"2,461538","144,230769",",702611","41,229891",,,50,13,2,45,",592792","13,337826",30,"3,033333","76,5",",909298","22,920411",,55,,,,,,,38,"2,315789","46,973684",",685899","13,853437",,76,13,4,"4,5",150,"1,299243","44,227273",,,,,,
7821146,51,,2,11,"20,727273","720,454545","6,196296","215,020202",38,"34,026316","1159,736842","10,15233","346,767079",,19,14,12,"5,083333","259,583333","1,472377","76,567901",6,"7,833333","365,833333","2,512987","117,179369",,5,12,20,"5,55",173,"1,642148","51,026111",14,"6,714286","211,785714","2,049893","64,773718",,2,14,15,"4,333333","134,333333","1,323086","41,572222",20,"7,05","233,75","2,148257","71,265709",,51,,,,,,,,,,,,,15,15,3,"1,333333",30,",443333","9,8",18,"3,722222","173,055556","1,106611","51,502101",,26,21,3,"1,333333","41,666667",",43642","13,222222",1,4,260,"1,4",91,,5,,,,,,,46,"1,413043","26,413043",",43525","8,107325",,42,3,3,5,"156,666667","1,538272","48,481481",3,6,200,"1,888272","62,589506",
7821147,316,,,,,,,,316,"71,155063","2199,810127","23,975413","740,145071",,195,77,29,"3,344828","202,758621","1,173033","71,106093",15,"5,666667",374,"1,809561","119,789219",,209,4,9,"3,333333","153,333333","1,082066","49,960472",94,"5,085106","234,202128","1,726752","79,558887",,4,35,84,"2,75","142,5",",949286","49,178552",193,"4,42487","232,772021","1,508924","79,327527",,316,,,,,,,,,,,,,12,,6,1,30,",35307","10,592105",298,"13,533557","259,66443","4,559305","87,817052",,167,110,5,"1,8",46,",54973","13,94067",34,"1,911765","68,823529",",631007","22,864861",,286,,,,,,,30,1,"41,5",",337901","14,207407",,213,7,6,"5,333333",170,"1,606725","50,794347",90,"20,177778","618,5","6,678661","204,777357",
7821148,485,,8,68,"23,014706","689,852941","7,129324","213,663216",409,"35,520782","1115,256724","11,384397","356,834349",,344,129,11,"3,454545","190,909091","1,209091","66,818182",1,5,270,"1,75","94,5",,105,189,86,"4,011628","141,627907","1,312667","46,224387",105,"5,057143","224,857143","1,675561","74,490213",,,5,200,"6,775","150,075","2,330482","51,656834",280,"10,142857","220,75","3,131571","68,498958",,162,7,,,,,,316,"2,142405","128,544304",",703955","42,237301",,,,5,1,30,",331852","9,955556",480,"3,035417","87,78125",",982421","28,463636",,177,70,156,"1,025641",45,",33875","14,892238",82,"2,317073","67,682927",",738589","21,693831",,485,,,,,,,,,,,,,161,23,25,"2,56","139,2",",807608","43,416471",276,"5,612319","285,054348","1,795494","91,741514",
7821149,1467,,34,46,"21,326087","645,326087","6,540272","198,987393",1387,"49,901947","1780,681327","16,391201","585,037259",,83,544,588,"3,229592","228,664966","1,095564","78,065014",252,"7,043651","419,900794","2,277558","135,958394",,665,159,294,"3,982993","140,510204","1,290889","45,316932",349,"5,848138","213,911175","1,955304","71,782275",,2,125,1080,"4,817593","141,990741","1,618378","47,726967",260,"6,707692","233,5","2,144048","74,744205",,29,80,107,"2,018692","100,794393",",65901","32,841276",1251,"5,455635","312,997602","1,828937","105,002128",,190,1,22,1,30,",323144","9,694333",1254,"1,811802","89,310207",",596028","29,313838",,53,26,452,1,45,",343897","15,47538",936,"3,076923","120,069444","1,002215","39,152693",,9,,2,1,10,",32906","3,290599",1456,"1,039835","16,442308",",346112","5,451705",,1091,159,101,"4,108911","143,465347","1,372565","47,563182",116,"8,784483","313,060345","2,725134","96,720267",
